name,district,registration_number,representative_email,representative_name
Kyempene Primary School,Ntungamo,220071,edwin@gmail.com,Edwin
Kagugu Junior School,Ntoroko,220072,peter@gmail.com,Peter
Standard Junior School,Shema,220073,mbabazi@gmail.com,Mbabazi
Nkomero Primary School,Bushenyi,220074,adonia@gmail.com,Adonia
Nyongozi Primary School,Mbarara,220075,winnie@gmail.com,Winnie
Mutanda Parents School,Kasese,220076,asaph@gmail.com,Asaph
Kabojja Junior School,Mukono,220077,robert@gmail.com,Robert
Hill Primary School,Bunyangabu,220078,amon@gmail.com,Amon
Mother Care Primary School,Masaka,220079,kwesiga@gmail.com,Kwesiga
Bugiri Primary School,Wakiso,220080,amos@gmail.com,Amos
